tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2024-580,Australian Open,Hard,128,G,20240114,1,210001,,,Jannik Sinner,R,188,ITA,25.0,210008,,,Hubert Hurkacz,R,196,POL,26.0,6-4 6-3 7-6(5),5,R128,110,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,1,1990,8,1436
2024-580,Australian Open,Hard,128,G,20240114,2,210002,,,Carlos Alcaraz,R,183,ESP,25.0,210009,,,Stefanos Tsitsipas,R,193,GRE,26.0,6-4 6-3 7-6(5),5,R64,117,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,2,1980,9,1428
2024-580,Australian Open,Hard,128,G,20240114,3,210003,,,Alexander Zverev,R,198,GER,25.0,210010,,,Taylor Fritz,R,196,USA,26.0,6-4 6-3 7-6(5),5,R32,124,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,3,1970,10,1420
2024-580,Australian Open,Hard,128,G,20240114,4,210004,,,Daniil Medvedev,R,198,RUS,25.0,210011,,,Holger Rune,R,188,DEN,26.0,6-4 6-3 7-6(5),5,R16,131,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,4,1960,11,1412
2024-580,Australian Open,Hard,128,G,20240114,5,210005,,,Novak Djokovic,R,188,SRB,25.0,210012,,,Tommy Paul,R,188,USA,26.0,6-4 6-3 7-6(5),5,QF,138,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,5,1950,12,1404
2024-301,Indian Wells Masters,Hard,64,M,20240306,1,210006,,,Andrey Rublev,R,188,RUS,25.0,210013,,,Grigor Dimitrov,R,191,BUL,26.0,6-4 6-3,3,R128,110,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,6,1940,13,1396
2024-301,Indian Wells Masters,Hard,64,M,20240306,2,210007,,,Casper Ruud,R,183,NOR,25.0,210014,,,Alex de Minaur,R,183,AUS,26.0,6-4 6-3,3,R64,117,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,7,1930,14,1388
2024-301,Indian Wells Masters,Hard,64,M,20240306,3,210008,,,Hubert Hurkacz,R,196,POL,25.0,210015,,,Ben Shelton,L,193,USA,26.0,6-4 6-3,3,R32,124,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,8,1920,15,1380
2024-301,Indian Wells Masters,Hard,64,M,20240306,4,210009,,,Stefanos Tsitsipas,R,193,GRE,25.0,210016,,,Frances Tiafoe,R,188,USA,26.0,6-4 6-3,3,R16,131,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,9,1910,16,1372
2024-301,Indian Wells Masters,Hard,64,M,20240306,5,210010,,,Taylor Fritz,R,196,USA,25.0,210001,,,Jannik Sinner,R,188,ITA,26.0,6-4 6-3,3,QF,138,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,10,1900,1,1492
2024-403,Miami Open,Hard,64,M,20240320,1,210011,,,Holger Rune,R,188,DEN,25.0,210002,,,Carlos Alcaraz,R,183,ESP,26.0,6-4 6-3,3,R128,110,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,11,1890,2,1484
2024-403,Miami Open,Hard,64,M,20240320,2,210012,,,Tommy Paul,R,188,USA,25.0,210003,,,Alexander Zverev,R,198,GER,26.0,6-4 6-3,3,R64,117,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,12,1880,3,1476
2024-403,Miami Open,Hard,64,M,20240320,3,210013,,,Grigor Dimitrov,R,191,BUL,25.0,210004,,,Daniil Medvedev,R,198,RUS,26.0,6-4 6-3,3,R32,124,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,13,1870,4,1468
2024-403,Miami Open,Hard,64,M,20240320,4,210014,,,Alex de Minaur,R,183,AUS,25.0,210005,,,Novak Djokovic,R,188,SRB,26.0,6-4 6-3,3,R16,131,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,14,1860,5,1460
2024-403,Miami Open,Hard,64,M,20240320,5,210015,,,Ben Shelton,L,193,USA,25.0,210006,,,Andrey Rublev,R,188,RUS,26.0,6-4 6-3,3,QF,138,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,15,1850,6,1452
2024-410,Monte Carlo Masters,Clay,64,M,20240407,1,210016,,,Frances Tiafoe,R,188,USA,25.0,210007,,,Casper Ruud,R,183,NOR,26.0,6-4 6-3,3,R128,110,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,16,1840,7,1444
2024-410,Monte Carlo Masters,Clay,64,M,20240407,2,210001,,,Jannik Sinner,R,188,ITA,25.0,210008,,,Hubert Hurkacz,R,196,POL,26.0,6-4 6-3,3,R64,117,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,1,1990,8,1436
2024-410,Monte Carlo Masters,Clay,64,M,20240407,3,210002,,,Carlos Alcaraz,R,183,ESP,25.0,210009,,,Stefanos Tsitsipas,R,193,GRE,26.0,6-4 6-3,3,R32,124,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,2,1980,9,1428
2024-410,Monte Carlo Masters,Clay,64,M,20240407,4,210003,,,Alexander Zverev,R,198,GER,25.0,210010,,,Taylor Fritz,R,196,USA,26.0,6-4 6-3,3,R16,131,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,3,1970,10,1420
2024-410,Monte Carlo Masters,Clay,64,M,20240407,5,210004,,,Daniil Medvedev,R,198,RUS,25.0,210011,,,Holger Rune,R,188,DEN,26.0,6-4 6-3,3,QF,138,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,4,1960,11,1412
2024-540,Roland Garros,Clay,128,G,20240526,1,210005,,,Novak Djokovic,R,188,SRB,25.0,210012,,,Tommy Paul,R,188,USA,26.0,6-4 6-3 7-6(5),5,R128,110,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,5,1950,12,1404
2024-540,Roland Garros,Clay,128,G,20240526,2,210006,,,Andrey Rublev,R,188,RUS,25.0,210013,,,Grigor Dimitrov,R,191,BUL,26.0,6-4 6-3 7-6(5),5,R64,117,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,6,1940,13,1396
2024-540,Roland Garros,Clay,128,G,20240526,3,210007,,,Casper Ruud,R,183,NOR,25.0,210014,,,Alex de Minaur,R,183,AUS,26.0,6-4 6-3 7-6(5),5,R32,124,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,7,1930,14,1388
2024-540,Roland Garros,Clay,128,G,20240526,4,210008,,,Hubert Hurkacz,R,196,POL,25.0,210015,,,Ben Shelton,L,193,USA,26.0,6-4 6-3 7-6(5),5,R16,131,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,8,1920,15,1380
2024-540,Roland Garros,Clay,128,G,20240526,5,210009,,,Stefanos Tsitsipas,R,193,GRE,25.0,210016,,,Frances Tiafoe,R,188,USA,26.0,6-4 6-3 7-6(5),5,QF,138,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,9,1910,16,1372
2024-610,Wimbledon,Grass,128,G,20240701,1,210010,,,Taylor Fritz,R,196,USA,25.0,210001,,,Jannik Sinner,R,188,ITA,26.0,6-4 6-3 7-6(5),5,R128,110,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,10,1900,1,1492
2024-610,Wimbledon,Grass,128,G,20240701,2,210011,,,Holger Rune,R,188,DEN,25.0,210002,,,Carlos Alcaraz,R,183,ESP,26.0,6-4 6-3 7-6(5),5,R64,117,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,11,1890,2,1484
2024-610,Wimbledon,Grass,128,G,20240701,3,210012,,,Tommy Paul,R,188,USA,25.0,210003,,,Alexander Zverev,R,198,GER,26.0,6-4 6-3 7-6(5),5,R32,124,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,12,1880,3,1476
2024-610,Wimbledon,Grass,128,G,20240701,4,210013,,,Grigor Dimitrov,R,191,BUL,25.0,210004,,,Daniil Medvedev,R,198,RUS,26.0,6-4 6-3 7-6(5),5,R16,131,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,13,1870,4,1468
2024-610,Wimbledon,Grass,128,G,20240701,5,210014,,,Alex de Minaur,R,183,AUS,25.0,210005,,,Novak Djokovic,R,188,SRB,26.0,6-4 6-3 7-6(5),5,QF,138,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,14,1860,5,1460
2024-560,US Open,Hard,128,G,20240826,1,210015,,,Ben Shelton,L,193,USA,25.0,210006,,,Andrey Rublev,R,188,RUS,26.0,6-4 6-3 7-6(5),5,R128,110,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,15,1850,6,1452
2024-560,US Open,Hard,128,G,20240826,2,210016,,,Frances Tiafoe,R,188,USA,25.0,210007,,,Casper Ruud,R,183,NOR,26.0,6-4 6-3 7-6(5),5,R64,117,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,16,1840,7,1444
2024-560,US Open,Hard,128,G,20240826,3,210001,,,Jannik Sinner,R,188,ITA,25.0,210008,,,Hubert Hurkacz,R,196,POL,26.0,6-4 6-3 7-6(5),5,R32,124,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,1,1990,8,1436
2024-560,US Open,Hard,128,G,20240826,4,210002,,,Carlos Alcaraz,R,183,ESP,25.0,210009,,,Stefanos Tsitsipas,R,193,GRE,26.0,6-4 6-3 7-6(5),5,R16,131,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,2,1980,9,1428
2024-560,US Open,Hard,128,G,20240826,5,210003,,,Alexander Zverev,R,198,GER,25.0,210010,,,Taylor Fritz,R,196,USA,26.0,6-4 6-3 7-6(5),5,QF,138,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,3,1970,10,1420
2024-580,Australian Open,Hard,128,G,20240114,99,,,,Jannik Sinner,R,188,ITA,25.0,210002,,,Carlos Alcaraz,R,183,ESP,26.0,6-0 6-0,5,R128,90,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,1,1990,2,1484
