tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2024-W580,Australian Open,Hard,128,G,20240114,1,220001,,,Iga Swiatek,R,176,POL,25.0,220008,,,Emma Navarro,R,170,USA,26.0,6-4 6-3,3,R128,110,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,1,1990,8,1436
2024-W580,Australian Open,Hard,128,G,20240114,2,220002,,,Aryna Sabalenka,R,182,BLR,25.0,220009,,,Madison Keys,R,178,USA,26.0,6-4 6-3,3,R64,117,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,2,1980,9,1428
2024-W580,Australian Open,Hard,128,G,20240114,3,220003,,,Coco Gauff,R,175,USA,25.0,220010,,,Daria Kasatkina,R,170,RUS,26.0,6-4 6-3,3,R32,124,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,3,1970,10,1420
2024-W580,Australian Open,Hard,128,G,20240114,4,220004,,,Elena Rybakina,R,184,KAZ,25.0,220011,,,Barbora Krejcikova,R,178,CZE,26.0,6-4 6-3,3,R16,131,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,4,1960,11,1412
2024-W580,Australian Open,Hard,128,G,20240114,5,220005,,,Jessica Pegula,R,170,USA,25.0,220012,,,Beatriz Haddad Maia,L,185,BRA,26.0,6-4 6-3,3,QF,138,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,5,1950,12,1404
2024-W301,Indian Wells,Hard,64,P1000,20240306,1,220006,,,Jasmine Paolini,R,163,ITA,25.0,220013,,,Mirra Andreeva,R,178,RUS,26.0,6-4 6-3,3,R128,110,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,6,1940,13,1396
2024-W301,Indian Wells,Hard,64,P1000,20240306,2,220007,,,Qinwen Zheng,R,178,CHN,25.0,220014,,,Diana Shnaider,L,184,RUS,26.0,6-4 6-3,3,R64,117,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,7,1930,14,1388
2024-W301,Indian Wells,Hard,64,P1000,20240306,3,220008,,,Emma Navarro,R,170,USA,25.0,220001,,,Iga Swiatek,R,176,POL,26.0,6-4 6-3,3,R32,124,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,8,1920,1,1492
2024-W301,Indian Wells,Hard,64,P1000,20240306,4,220009,,,Madison Keys,R,178,USA,25.0,220002,,,Aryna Sabalenka,R,182,BLR,26.0,6-4 6-3,3,R16,131,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,9,1910,2,1484
2024-W301,Indian Wells,Hard,64,P1000,20240306,5,220010,,,Daria Kasatkina,R,170,RUS,25.0,220003,,,Coco Gauff,R,175,USA,26.0,6-4 6-3,3,QF,138,8,2,60,40,30,15,10,3,5,6,3,55,35,26,12,9,2,6,10,1900,3,1476
