ranking_date,rank,player,points
20240101,1,220001,9900
20240101,2,220002,9800
20240101,3,220003,9700
20240101,4,220004,9600
20240101,5,220005,9500
20240101,6,220006,9400
20240101,7,220007,9300
20240101,8,220008,9200
20240101,9,220009,9100
20240101,10,220010,9000
20240101,11,220011,8900
20240101,12,220012,8800
20240101,13,220013,8700
20240101,14,220014,8600
20240701,1,220001,9900
20240701,2,220002,9800
20240701,3,220003,9700
20240701,4,220004,9600
20240701,5,220005,9500
20240701,6,220006,9400
20240701,7,220007,9300
20240701,8,220008,9200
20240701,9,220009,9100
20240701,10,220010,9000
20240701,11,220011,8900
20240701,12,220012,8800
20240701,13,220013,8700
20240701,14,220014,8600
20250101,1,220001,9900
20250101,2,220002,9800
20250101,3,220003,9700
20250101,4,220004,9600
20250101,5,220005,9500
20250101,6,220006,9400
20250101,7,220007,9300
20250101,8,220008,9200
20250101,9,220009,9100
20250101,10,220010,9000
20250101,11,220011,8900
20250101,12,220012,8800
20250101,13,220013,8700
20250101,14,220014,8600
